Categoría,Roles Profesionales
Software Engineering,"Backend Developer, Frontend Developer, Full-Stack Developer, Software Architect, Tech Lead, Engineering Manager, Mobile Developer, DevOps Engineer, Infrastructure Engineer, SRE (Site Reliability Engineer), SysAdmin, DBA, QA Engineer, Test Automation Engineer, Security Engineer, MLOps Specialist, Developer Advocate, API Developer, Cloud Engineer, Game Developer"
Data,"Data Analyst, Business Intelligence Specialist, Data Engineer, Data Scientist, Machine Learning Engineer, AI Researcher, Data Visualization Specialist, Big Data Engineer, Data Architect, NLP Engineer"
Producto,"Product Manager, Product Owner, Project Manager, Delivery Manager, Product Analyst, Lead Product Manager, VP of Product, Technical Product Manager, Growth Product Manager, Innovation Manager"
Diseño,"Brand Designer, Graphic Designer, Motion Designer, Layout Designer, UI/UX Designer, UX Writer, UX Researcher, Interaction Designer, Visual Designer, 3D Artist, Service Designer, Lead Designer"
Marketing,"Brand Marketing Specialist, Creative Marketing Specialist, Content Marketer, Content Strategist, Copywriter, Marketing Generalist, Growth Manager, Performance Marketer, PR Specialist, Social Media Manager, Community Manager"
Sales,"Sales Development Representative, Account Executive, Enterprise Account Executive, Sales Manager, Sales Operations Specialist, Customer Success Manager, Solution Engineer, Sales Engineer, Channel Sales Manager, Regional Sales Director, Chief Revenue Officer"
Legal,"Legal Counsel, Compliance Officer, Legal Manager, Contract Manager, IP Specialist, Data Privacy Officer, General Counsel"
Operaciones,"Operations Manager, Business Operations Manager, Strategy Consultant, Customer Service Specialist, Support Specialist, Operations Analyst"
Finanzas,"Financial Analyst, Accountant, Controller, Finance Manager, CFO, Investment Analyst, Tax Specialist, Auditor"
Recursos Humanos,"HR Generalist, Talent Acquisition Specialist, HR Business Partner, Learning & Development Specialist, Compensation & Benefits Specialist, People Operations Manager, HR Manager, Recruitment Specialist, Onboarding Specialist, Organizational Development Specialist"
Administración,"Administrative Assistant, Office Manager, Executive Assistant, Facilities Manager, Administrative Coordinator, Virtual Assistant, Front Desk Coordinator, Administrative Director"

Categoría,Nivel Profesional,Años de Experiencia,Habilidades Esperadas
Executive,Chief Marketing Officer (CMO),15+,"Estrategia global de marketing, posicionamiento de marca, dirección de campañas corporativas, gestión de portfolio de productos, marketing digital estratégico, relaciones públicas corporativas, estrategia de growth, análisis de mercado avanzado"

# Executive - Chief Product Officer (CPO)
Executive,Chief Product Officer (CPO),15+,"Visión y estrategia global de producto, roadmap corporativo, priorización de mercados y segmentos, alineación tecnología-negocio, diseño de portfolio, innovación en producto, gestión del ciclo de vida de producto, desarrollo de nuevos productos"

# Executive - Chief Revenue Officer (CRO)
Executive,Chief Revenue Officer (CRO),15+,"Estrategia global de ingresos, alineación ventas-marketing-success, optimización del ciclo de ventas, expansión de mercados, estrategias de monetización, partnerships estratégicos, forecasting avanzado, growth enfocado a ingresos"

# Executive - Chief People Officer (CPO)
Executive,Chief People Officer (CPO),15+,"Estrategia global de talento, transformación cultural, desarrollo organizacional, compensación estratégica, employer branding, gestión del cambio, programas de bienestar, optimización de la experiencia del empleado"

# Executive - Chief Legal Officer (CLO)
Executive,Chief Legal Officer (CLO),15+,"Estrategia legal corporativa, gestión de riesgos legales, compliance global, propiedad intelectual, gobierno corporativo, relaciones con reguladores, protección legal del negocio, negociación de contratos complejos"

# Executive - Chief Experience Officer (CXO)
Executive,Chief Experience Officer (CXO),15+,"Estrategia global de experiencia de usuario, transformación centrada en el cliente, diseño de experiencias omnicanal, customer journey maps corporativos, integración experiencia-producto, optimización de interacciones"

# Executive - Chief Customer Officer (CCO)
Executive,Chief Customer Officer (CCO),15+,"Estrategia global de customer success, optimización de la retención de clientes, programas de fidelización, voz del cliente, customer insights, estrategias de valor al cliente, customer-centricity organizacional"

# Executive - Chief Growth Officer (CGO)
Executive,Chief Growth Officer (CGO),15+,"Estrategia corporativa de crecimiento, modelos escalables de adquisición, expansión en nuevos mercados, frameworks de experimentación, scaling de modelos de negocio, optimización de unidades económicas, diversificación"

# Executive - Chief Innovation Officer (CINO)
Executive,Chief Innovation Officer (CINO),15+,"Dirección de estrategia de innovación, programas de intraemprendimiento, cultura de innovación, open innovation, ecosistemas de innovación, venturing corporativo, transformación disruptiva, colaboración con startups"

# Executive - Chief Strategy Officer (CSO)
Executive,Chief Strategy Officer (CSO),15+,"Estrategia corporativa global, análisis competitivo avanzado, planificación a largo plazo, diversificación estratégica, M&A estratégico, nuevas líneas de negocio, escenarios estratégicos, transformación corporativa"

# Executive - Chief Sustainability Officer (CSO)
Executive,Chief Sustainability Officer (CSO),15+,"Estrategia global de sostenibilidad, ESG corporativo, impacto ambiental, economía circular, diversidad e inclusión, relación con stakeholders, reporte no financiero, compliance sostenible"

# Executive - Chief Ethics Officer (CETO)
Executive,Chief Ethics Officer (CETO),15+,"Estrategia ética corporativa, programas de compliance ético, responsabilidad ética en IA y tecnología, gobierno de la ética, formación en ética empresarial, resolución de dilemas éticos, relación con sociedad"

# Executive - Chief Diversity Officer (CDO)
Executive,Chief Diversity Officer (CDO),15+,"Estrategia global de diversidad e inclusión, programas de equidad, cultura inclusiva, mentorización para minorías, procesos de reclutamiento inclusivos, medición de impacto en D&I, sensibilización"

# Executive - Chief Learning Officer (CLO)
Executive,Chief Learning Officer (CLO),15+,"Estrategia corporativa de aprendizaje, desarrollo de talento, universidades corporativas, upskilling organizacional, programas de liderazgo, gestión del conocimiento, transformación del aprendizaje, ecosistemas formativos"

# Executive - Chief Quality Officer (CQO)
Executive,Chief Quality Officer (CQO),15+,"Estrategia global de calidad, excelencia operativa, sistemas de calidad corporativos, mejora continua, optimización de procesos, auditoría de calidad, frameworks de calidad, transformación hacia la calidad"

# Executive - Chief Security Officer (CSO)
Executive,Chief Security Officer (CSO),15+,"Estrategia global de seguridad corporativa, protección de activos físicos y digitales, seguridad de ejecutivos, continuidad de negocio, gestión de crisis, inteligencia de amenazas, coordinación con autoridades"

# Executive - Chief Risk Officer (CRO)
Executive,Chief Risk Officer (CRO),15+,"Estrategia global de riesgos, modelos avanzados de gestión de riesgos, cumplimiento regulatorio, resilencia organizacional, planes de contingencia, riesgos emergentes, análisis predictivo de riesgos, cultura de riesgo"
